comment_like_id,user_id,comment_id,comment_author_id,post_id,created_at,period,same_cluster_as_comment_author
cl0000001,u0274,c0000001,u0303,p000001,2026-01-29 15:25:07,before_policy,0
cl0000002,u0324,c0000001,u0303,p000001,2026-01-29 12:48:07,before_policy,0
cl0000003,u0038,c0000001,u0303,p000001,2026-01-29 09:46:07,before_policy,0
cl0000004,u0154,c0000001,u0303,p000001,2026-01-29 14:07:07,before_policy,1
cl0000005,u0111,c0000001,u0303,p000001,2026-01-29 09:37:07,before_policy,0
cl0000006,u0142,c0000003,u0174,p000001,2026-01-29 04:43:07,before_policy,1
cl0000007,u0213,c0000003,u0174,p000001,2026-01-29 09:05:07,before_policy,0
cl0000008,u0232,c0000003,u0174,p000001,2026-01-29 07:35:07,before_policy,0
cl0000009,u0086,c0000003,u0174,p000001,2026-01-29 07:42:07,before_policy,0
cl0000010,u0350,c0000003,u0174,p000001,2026-01-29 05:27:07,before_policy,1
cl0000011,u0254,c0000004,u0060,p000001,2026-01-29 17:28:07,before_policy,1
cl0000012,u0307,c0000004,u0060,p000001,2026-01-29 20:32:07,before_policy,1
cl0000013,u0166,c0000004,u0060,p000001,2026-01-29 19:04:07,before_policy,1
cl0000014,u0244,c0000004,u0060,p000001,2026-01-29 19:01:07,before_policy,0
cl0000015,u0192,c0000005,u0247,p000003,2026-01-26 05:02:55,before_policy,1
cl0000016,u0338,c0000006,u0212,p000003,2026-01-26 11:16:55,before_policy,1
cl0000017,u0131,c0000006,u0212,p000003,2026-01-26 05:55:55,before_policy,1
cl0000018,u0273,c0000006,u0212,p000003,2026-01-26 06:39:55,before_policy,1
cl0000019,u0262,c0000006,u0212,p000003,2026-01-26 14:29:55,before_policy,1
cl0000020,u0221,c0000006,u0212,p000003,2026-01-26 05:10:55,before_policy,1
cl0000021,u0031,c0000007,u0277,p000003,2026-01-26 08:36:55,before_policy,1
cl0000022,u0191,c0000007,u0277,p000003,2026-01-26 07:02:55,before_policy,0
cl0000023,u0328,c0000008,u0102,p000004,2026-01-30 11:44:21,before_policy,0
cl0000024,u0114,c0000008,u0102,p000004,2026-01-30 01:55:21,before_policy,0
cl0000025,u0186,c0000009,u0063,p000004,2026-01-30 12:18:21,before_policy,1
cl0000026,u0269,c0000009,u0063,p000004,2026-01-30 20:10:21,before_policy,0
cl0000027,u0311,c0000009,u0063,p000004,2026-01-30 21:25:21,before_policy,0
cl0000028,u0214,c0000010,u0263,p000004,2026-01-30 03:14:21,before_policy,1
cl0000029,u0074,c0000011,u0049,p000005,2026-01-11 04:16:29,before_policy,1
cl0000030,u0328,c0000012,u0088,p000005,2026-01-11 19:17:29,before_policy,0
cl0000031,u0102,c0000012,u0088,p000005,2026-01-11 12:41:29,before_policy,1
cl0000032,u0022,c0000013,u0304,p000005,2026-01-10 20:43:29,before_policy,0
cl0000033,u0266,c0000013,u0304,p000005,2026-01-10 20:54:29,before_policy,1
cl0000034,u0050,c0000013,u0304,p000005,2026-01-10 17:27:29,before_policy,0
cl0000035,u0007,c0000014,u0194,p000005,2026-01-11 06:13:29,before_policy,1
cl0000036,u0317,c0000014,u0194,p000005,2026-01-11 12:03:29,before_policy,0
cl0000037,u0244,c0000014,u0194,p000005,2026-01-11 05:38:29,before_policy,1
cl0000038,u0240,c0000014,u0194,p000005,2026-01-11 09:57:29,before_policy,1
cl0000039,u0171,c0000014,u0194,p000005,2026-01-11 14:16:29,before_policy,0
cl0000040,u0273,c0000015,u0019,p000006,2026-03-21 05:33:15,after_policy,0
cl0000041,u0078,c0000015,u0019,p000006,2026-03-21 05:56:15,after_policy,1
cl0000042,u0259,c0000016,u0289,p000006,2026-03-21 12:23:15,after_policy,1
cl0000043,u0289,c0000016,u0289,p000006,2026-03-21 03:57:15,after_policy,1
cl0000044,u0341,c0000016,u0289,p000006,2026-03-21 08:01:15,after_policy,0
cl0000045,u0359,c0000016,u0289,p000006,2026-03-21 09:49:15,after_policy,1
cl0000046,u0046,c0000016,u0289,p000006,2026-03-21 09:01:15,after_policy,1
cl0000047,u0247,c0000016,u0289,p000006,2026-03-21 07:57:15,after_policy,0
cl0000048,u0255,c0000017,u0127,p000006,2026-03-21 17:52:15,after_policy,1
cl0000049,u0082,c0000017,u0127,p000006,2026-03-21 06:28:15,after_policy,1
cl0000050,u0272,c0000017,u0127,p000006,2026-03-21 10:53:15,after_policy,0
cl0000051,u0271,c0000017,u0127,p000006,2026-03-21 12:15:15,after_policy,1
cl0000052,u0209,c0000017,u0127,p000006,2026-03-21 12:47:15,after_policy,1
cl0000053,u0181,c0000018,u0311,p000006,2026-03-21 19:54:15,after_policy,1
cl0000054,u0213,c0000018,u0311,p000006,2026-03-21 14:11:15,after_policy,1
cl0000055,u0286,c0000018,u0311,p000006,2026-03-21 22:04:15,after_policy,0
cl0000056,u0214,c0000018,u0311,p000006,2026-03-21 22:06:15,after_policy,0
cl0000057,u0359,c0000018,u0311,p000006,2026-03-21 13:17:15,after_policy,1
cl0000058,u0312,c0000018,u0311,p000006,2026-03-21 22:24:15,after_policy,1
cl0000059,u0223,c0000019,u0247,p000007,2026-03-14 04:38:42,after_policy,1
cl0000060,u0306,c0000019,u0247,p000007,2026-03-14 03:46:42,after_policy,1
cl0000061,u0153,c0000019,u0247,p000007,2026-03-14 09:12:42,after_policy,1
cl0000062,u0243,c0000019,u0247,p000007,2026-03-14 00:19:42,after_policy,1
cl0000063,u0257,c0000019,u0247,p000007,2026-03-14 03:14:42,after_policy,1
cl0000064,u0181,c0000020,u0295,p000008,2026-04-18 03:50:48,after_policy,1
cl0000065,u0294,c0000020,u0295,p000008,2026-04-18 01:15:48,after_policy,1
cl0000066,u0359,c0000020,u0295,p000008,2026-04-18 08:21:48,after_policy,1
cl0000067,u0295,c0000021,u0241,p000008,2026-04-17 22:44:48,after_policy,1
cl0000068,u0092,c0000021,u0241,p000008,2026-04-17 19:46:48,after_policy,1
cl0000069,u0339,c0000021,u0241,p000008,2026-04-18 04:47:48,after_policy,1
cl0000070,u0052,c0000021,u0241,p000008,2026-04-18 05:45:48,after_policy,1
cl0000071,u0312,c0000022,u0004,p000008,2026-04-18 00:39:48,after_policy,1
cl0000072,u0103,c0000022,u0004,p000008,2026-04-18 03:04:48,after_policy,1
cl0000073,u0161,c0000022,u0004,p000008,2026-04-17 21:10:48,after_policy,0
cl0000074,u0285,c0000023,u0103,p000008,2026-04-18 15:09:48,after_policy,1
cl0000075,u0092,c0000023,u0103,p000008,2026-04-18 13:28:48,after_policy,1
cl0000076,u0319,c0000023,u0103,p000008,2026-04-18 11:16:48,after_policy,1
cl0000077,u0194,c0000023,u0103,p000008,2026-04-18 17:12:48,after_policy,1
cl0000078,u0213,c0000023,u0103,p000008,2026-04-18 17:30:48,after_policy,1
cl0000079,u0276,c0000024,u0052,p000008,2026-04-17 20:06:48,after_policy,1
cl0000080,u0004,c0000024,u0052,p000008,2026-04-17 22:55:48,after_policy,1
cl0000081,u0049,c0000024,u0052,p000008,2026-04-17 20:16:48,after_policy,1
cl0000082,u0359,c0000024,u0052,p000008,2026-04-17 18:13:48,after_policy,1
cl0000083,u0287,c0000024,u0052,p000008,2026-04-17 22:32:48,after_policy,1
cl0000084,u0194,c0000024,u0052,p000008,2026-04-17 23:59:48,after_policy,1
cl0000085,u0086,c0000024,u0052,p000008,2026-04-17 18:27:48,after_policy,1
cl0000086,u0034,c0000024,u0052,p000008,2026-04-17 20:15:48,after_policy,0
cl0000087,u0213,c0000025,u0074,p000008,2026-04-18 19:29:48,after_policy,1
cl0000088,u0217,c0000025,u0074,p000008,2026-04-18 15:49:48,after_policy,1
cl0000089,u0280,c0000025,u0074,p000008,2026-04-19 00:52:48,after_policy,0
cl0000090,u0082,c0000026,u0143,p000009,2026-01-28 11:35:07,before_policy,0
cl0000091,u0159,c0000026,u0143,p000009,2026-01-28 09:43:07,before_policy,1
cl0000092,u0157,c0000028,u0001,p000009,2026-01-28 21:20:07,before_policy,1
cl0000093,u0158,c0000028,u0001,p000009,2026-01-28 18:27:07,before_policy,1
