date,period,post_count,comment_count,like_count,comment_like_count,pro_posts,anti_posts,skeptical_posts,neutral_posts,mixed_posts,pro_anti_post_gap
2025-12-31,before_policy,19,15,71,19,4,6,4,3,2,0.1053
2026-01-01,before_policy,23,35,155,81,6,10,2,2,3,0.1739
2026-01-02,before_policy,23,44,116,113,8,5,4,3,3,0.1304
2026-01-03,before_policy,21,55,233,125,8,4,6,1,2,0.1905
2026-01-04,before_policy,15,34,147,87,4,2,3,2,4,0.1333
2026-01-05,before_policy,18,38,112,86,2,5,7,2,2,0.1667
2026-01-06,before_policy,21,32,129,89,6,3,8,2,2,0.1429
2026-01-07,before_policy,16,35,105,79,3,7,4,1,1,0.25
2026-01-08,before_policy,17,28,105,74,5,7,3,2,0,0.1176
2026-01-09,before_policy,18,36,85,94,4,8,4,1,1,0.2222
2026-01-10,before_policy,22,38,119,85,8,3,6,1,4,0.2273
2026-01-11,before_policy,17,43,147,111,6,4,2,3,2,0.1176
2026-01-12,before_policy,19,48,133,108,5,7,3,2,2,0.1053
2026-01-13,before_policy,29,57,171,109,4,11,7,2,5,0.2414
2026-01-14,before_policy,22,44,208,124,6,4,7,1,4,0.0909
2026-01-15,before_policy,17,43,183,99,6,6,1,3,1,0.0
2026-01-16,before_policy,23,33,150,73,7,8,3,1,4,0.0435
2026-01-17,before_policy,26,67,222,132,6,12,3,4,1,0.2308
2026-01-18,before_policy,20,36,114,138,7,4,4,0,5,0.15
2026-01-19,before_policy,18,29,161,74,5,6,3,2,2,0.0556
2026-01-20,before_policy,18,29,133,70,8,4,1,2,3,0.2222
2026-01-21,before_policy,22,43,142,89,10,8,2,1,1,0.0909
2026-01-22,before_policy,34,66,187,166,11,12,3,4,4,0.0294
2026-01-23,before_policy,23,62,152,159,2,9,8,2,2,0.3043
2026-01-24,before_policy,24,47,160,114,10,8,4,1,1,0.0833
2026-01-25,before_policy,15,40,91,97,8,4,2,1,0,0.2667
2026-01-26,before_policy,17,50,195,117,5,8,1,2,1,0.1765
2026-01-27,before_policy,19,34,166,96,7,7,2,3,0,0.0
2026-01-28,before_policy,28,38,167,86,6,6,10,2,4,0.0
2026-01-29,before_policy,17,65,177,123,5,5,2,2,3,0.0
2026-01-30,before_policy,19,25,82,86,3,6,4,1,5,0.1579
2026-01-31,before_policy,15,27,129,72,4,7,4,0,0,0.2
2026-02-01,before_policy,28,46,176,107,8,7,8,2,3,0.0357
2026-02-02,before_policy,20,50,133,109,4,8,3,1,4,0.2
2026-02-03,before_policy,17,41,121,103,6,7,3,1,0,0.0588
2026-02-04,before_policy,19,31,115,87,7,3,1,2,6,0.2105
2026-02-05,before_policy,24,37,153,93,10,7,3,1,3,0.125
2026-02-06,before_policy,14,27,165,68,5,4,1,1,3,0.0714
2026-02-07,before_policy,19,28,132,68,1,5,6,3,4,0.2105
2026-02-08,before_policy,23,34,154,80,6,11,1,1,4,0.2174
2026-02-09,before_policy,20,39,123,83,7,6,2,0,5,0.05
2026-02-10,before_policy,20,27,116,93,4,5,6,3,2,0.05
2026-02-11,before_policy,15,36,147,76,3,5,2,4,1,0.1333
2026-02-12,before_policy,17,30,129,88,5,3,3,3,3,0.1176
2026-02-13,before_policy,26,45,149,114,10,6,3,5,2,0.1538
2026-02-14,before_policy,15,37,130,97,5,4,3,2,1,0.0667
2026-02-15,before_policy,19,32,99,77,6,6,5,1,1,0.0
2026-02-16,before_policy,13,33,97,90,0,8,1,2,2,0.6154
2026-02-17,before_policy,15,32,90,96,7,2,1,4,1,0.3333
2026-02-18,before_policy,22,24,132,81,7,7,4,1,3,0.0
2026-02-19,before_policy,18,38,147,67,3,5,4,3,3,0.1111
2026-02-20,before_policy,17,35,110,94,5,9,1,1,1,0.2353
2026-02-21,before_policy,13,24,62,53,0,4,1,7,1,0.3077
2026-02-22,before_policy,18,28,108,76,3,4,3,2,6,0.0556
2026-02-23,before_policy,13,36,83,98,3,6,2,2,0,0.2308
2026-02-24,before_policy,25,38,138,88,3,6,7,3,6,0.12
2026-02-25,before_policy,15,43,125,90,5,3,4,1,2,0.1333
2026-02-26,before_policy,20,34,98,87,5,7,3,3,2,0.1
2026-02-27,before_policy,11,29,92,88,8,2,0,0,1,0.5455
2026-02-28,before_policy,18,27,81,71,3,9,2,1,3,0.3333
2026-03-01,policy_day,12,59,238,139,5,4,3,0,0,0.0833
2026-03-02,after_policy,19,73,247,215,9,4,1,2,3,0.2632
2026-03-03,after_policy,19,48,213,223,6,5,6,0,2,0.0526
2026-03-04,after_policy,20,79,206,292,2,7,4,3,4,0.25
2026-03-05,after_policy,14,60,166,263,3,4,3,2,2,0.0714
2026-03-06,after_policy,19,41,219,168,4,7,3,3,2,0.1579
2026-03-07,after_policy,14,63,257,253,5,4,2,2,1,0.0714
2026-03-08,after_policy,10,42,87,159,3,2,4,0,1,0.1
2026-03-09,after_policy,24,65,340,233,8,7,4,3,2,0.0417
2026-03-10,after_policy,24,83,273,337,4,10,3,3,4,0.25
2026-03-11,after_policy,22,69,188,245,10,6,1,2,3,0.1818
2026-03-12,after_policy,29,92,396,323,9,8,6,5,1,0.0345
2026-03-13,after_policy,21,67,369,272,7,7,4,0,3,0.0
2026-03-14,after_policy,17,72,225,278,7,4,2,4,0,0.1765
2026-03-15,after_policy,16,46,182,190,4,5,4,1,2,0.0625
2026-03-16,after_policy,11,47,156,196,4,2,2,1,2,0.1818
2026-03-17,after_policy,14,35,128,151,3,4,3,2,2,0.0714
2026-03-18,after_policy,27,88,379,248,10,9,6,1,1,0.037
2026-03-19,after_policy,28,89,383,346,5,6,9,4,4,0.0357
2026-03-20,after_policy,20,79,285,355,5,8,2,2,3,0.15
2026-03-21,after_policy,18,69,207,306,8,5,3,1,1,0.1667
2026-03-22,after_policy,29,78,333,298,7,9,4,2,7,0.069
2026-03-23,after_policy,22,100,268,387,10,5,0,3,4,0.2273
2026-03-24,after_policy,19,70,218,318,10,3,2,0,4,0.3684
2026-03-25,after_policy,18,55,270,234,4,7,2,2,3,0.1667
2026-03-26,after_policy,24,91,289,309,5,11,5,0,3,0.25
2026-03-27,after_policy,16,53,197,252,0,9,2,1,4,0.5625
2026-03-28,after_policy,25,74,304,308,4,10,6,1,4,0.24
2026-03-29,after_policy,21,69,238,241,7,6,4,2,2,0.0476
2026-03-30,after_policy,17,83,223,338,3,5,2,6,1,0.1176
2026-03-31,after_policy,24,66,309,254,6,7,6,2,3,0.0417
2026-04-01,after_policy,15,75,154,325,4,2,5,1,3,0.1333
2026-04-02,after_policy,20,49,195,203,5,5,5,3,2,0.0
2026-04-03,after_policy,24,109,331,391,7,5,9,1,2,0.0833
2026-04-04,after_policy,20,66,254,282,3,6,3,7,1,0.15
2026-04-05,after_policy,23,75,263,284,6,8,4,2,3,0.087
2026-04-06,after_policy,27,91,292,363,8,9,4,2,4,0.037
2026-04-07,after_policy,16,80,275,304,3,10,3,0,0,0.4375
2026-04-08,after_policy,22,49,247,252,7,4,3,2,6,0.1364
