follow_id,follower_id,followed_id,created_at,period
f000001,u0001,u0022,2026-03-24 10:06:45,after_policy
f000002,u0001,u0197,2026-03-15 17:36:11,after_policy
f000003,u0001,u0253,2026-02-15 18:41:57,before_policy
f000004,u0001,u0276,2026-04-26 07:33:25,after_policy
f000005,u0001,u0232,2026-03-03 15:56:38,after_policy
f000006,u0001,u0085,2026-02-25 05:14:04,before_policy
f000007,u0001,u0159,2026-01-27 04:11:10,before_policy
f000008,u0001,u0065,2026-03-25 07:26:51,after_policy
f000009,u0001,u0064,2026-03-02 21:30:30,after_policy
f000010,u0001,u0098,2026-03-23 13:01:15,after_policy
f000011,u0001,u0337,2026-01-05 18:09:03,before_policy
f000012,u0002,u0343,2026-04-03 21:52:18,after_policy
f000013,u0002,u0299,2026-03-18 15:55:30,after_policy
f000014,u0002,u0187,2026-03-17 04:50:37,after_policy
f000015,u0002,u0337,2026-02-02 05:46:43,before_policy
f000016,u0002,u0205,2026-03-17 18:04:14,after_policy
f000017,u0002,u0058,2026-01-13 00:12:33,before_policy
f000018,u0002,u0067,2026-03-18 03:11:30,after_policy
f000019,u0002,u0243,2026-03-05 03:05:30,after_policy
f000020,u0002,u0265,2026-03-10 00:57:49,after_policy
f000021,u0002,u0198,2026-03-07 13:23:55,after_policy
f000022,u0002,u0236,2026-02-23 07:51:30,before_policy
f000023,u0002,u0128,2026-03-16 23:58:48,after_policy
f000024,u0002,u0203,2026-01-17 08:30:49,before_policy
f000025,u0002,u0028,2026-02-05 19:56:34,before_policy
f000026,u0002,u0091,2025-12-31 22:47:50,before_policy
f000027,u0002,u0235,2026-01-15 16:00:24,before_policy
f000028,u0003,u0090,2026-02-23 20:37:16,before_policy
f000029,u0003,u0347,2026-02-23 18:23:39,before_policy
f000030,u0003,u0268,2026-04-06 06:26:35,after_policy
f000031,u0003,u0069,2026-02-16 17:35:30,before_policy
f000032,u0003,u0207,2026-03-14 11:49:45,after_policy
f000033,u0003,u0085,2026-04-19 21:07:47,after_policy
f000034,u0003,u0098,2026-01-12 06:32:25,before_policy
f000035,u0003,u0070,2026-02-18 20:00:51,before_policy
f000036,u0003,u0089,2026-03-01 19:27:05,policy_day
f000037,u0003,u0143,2026-02-16 02:38:02,before_policy
f000038,u0003,u0272,2026-03-19 20:33:18,after_policy
f000039,u0003,u0031,2026-04-09 05:40:31,after_policy
f000040,u0003,u0120,2026-04-18 21:59:51,after_policy
f000041,u0003,u0108,2026-01-04 19:32:33,before_policy
f000042,u0003,u0101,2026-03-27 01:23:15,after_policy
f000043,u0004,u0128,2026-03-26 12:25:37,after_policy
f000044,u0004,u0046,2026-04-27 02:35:18,after_policy
f000045,u0004,u0319,2026-04-27 18:22:22,after_policy
f000046,u0004,u0143,2026-03-18 06:29:59,after_policy
f000047,u0004,u0285,2026-03-05 03:35:04,after_policy
f000048,u0004,u0244,2026-01-14 16:16:56,before_policy
f000049,u0004,u0327,2026-02-01 22:28:24,before_policy
f000050,u0004,u0194,2026-04-06 10:49:29,after_policy
f000051,u0004,u0328,2026-04-20 00:30:07,after_policy
f000052,u0004,u0276,2026-03-22 07:43:44,after_policy
f000053,u0005,u0321,2026-04-16 08:15:18,after_policy
f000054,u0005,u0228,2026-01-09 17:59:11,before_policy
f000055,u0005,u0233,2026-01-27 18:17:11,before_policy
f000056,u0005,u0227,2026-04-04 06:15:47,after_policy
f000057,u0005,u0157,2026-01-26 07:12:53,before_policy
f000058,u0005,u0053,2026-01-15 02:43:42,before_policy
f000059,u0005,u0001,2026-04-07 17:02:54,after_policy
f000060,u0005,u0211,2026-03-04 18:55:17,after_policy
f000061,u0005,u0337,2026-02-04 12:14:48,before_policy
f000062,u0005,u0018,2026-03-08 13:30:34,after_policy
f000063,u0005,u0232,2026-02-19 21:49:11,before_policy
f000064,u0005,u0065,2026-03-30 16:29:20,after_policy
f000065,u0005,u0003,2026-03-27 06:24:37,after_policy
f000066,u0005,u0234,2026-03-19 08:11:35,after_policy
f000067,u0005,u0158,2026-03-01 19:21:23,policy_day
f000068,u0005,u0277,2026-01-26 13:44:48,before_policy
f000069,u0005,u0272,2026-02-04 14:11:36,before_policy
f000070,u0005,u0146,2026-04-14 03:46:17,after_policy
f000071,u0005,u0139,2026-01-25 04:51:47,before_policy
f000072,u0005,u0324,2026-01-17 20:33:34,before_policy
f000073,u0005,u0316,2026-02-07 08:35:54,before_policy
f000074,u0005,u0268,2026-01-12 22:10:03,before_policy
f000075,u0006,u0221,2026-02-02 11:23:35,before_policy
f000076,u0006,u0155,2026-02-13 00:26:07,before_policy
f000077,u0006,u0120,2026-03-14 18:41:41,after_policy
f000078,u0006,u0160,2026-02-14 10:43:32,before_policy
f000079,u0006,u0299,2026-04-23 02:24:39,after_policy
f000080,u0006,u0089,2026-04-21 05:40:51,after_policy
f000081,u0006,u0271,2026-03-19 18:25:54,after_policy
f000082,u0006,u0070,2026-02-12 07:20:20,before_policy
f000083,u0006,u0158,2026-03-18 20:25:17,after_policy
f000084,u0006,u0328,2026-03-07 14:26:10,after_policy
f000085,u0006,u0005,2026-01-16 23:15:42,before_policy
f000086,u0006,u0039,2026-01-26 05:25:06,before_policy
f000087,u0006,u0308,2026-03-11 01:01:49,after_policy
f000088,u0006,u0090,2026-01-10 20:59:56,before_policy
f000089,u0006,u0146,2026-01-31 23:18:28,before_policy
f000090,u0007,u0019,2026-03-25 11:55:58,after_policy
f000091,u0007,u0295,2026-02-28 17:59:17,before_policy
f000092,u0007,u0074,2026-03-30 17:11:37,after_policy
f000093,u0007,u0327,2026-02-24 16:40:40,before_policy
f000094,u0007,u0259,2026-03-02 17:14:51,after_policy
f000095,u0007,u0240,2026-02-15 13:16:09,before_policy
f000096,u0007,u0004,2026-03-07 04:22:18,after_policy
f000097,u0007,u0298,2026-04-06 15:19:00,after_policy
f000098,u0007,u0217,2026-03-17 07:50:00,after_policy
f000099,u0007,u0103,2026-02-21 17:27:25,before_policy
f000100,u0007,u0276,2026-04-16 12:14:16,after_policy
f000101,u0007,u0194,2026-03-07 19:51:44,after_policy
f000102,u0008,u0025,2026-01-23 04:18:07,before_policy
f000103,u0008,u0269,2026-02-26 08:44:39,before_policy
f000104,u0008,u0149,2026-01-02 04:03:34,before_policy
f000105,u0008,u0032,2026-02-05 08:08:45,before_policy
f000106,u0008,u0061,2026-01-01 15:13:21,before_policy
f000107,u0008,u0225,2026-02-16 14:44:50,before_policy
f000108,u0008,u0028,2026-04-17 04:03:17,after_policy
f000109,u0008,u0027,2026-03-10 15:11:12,after_policy
f000110,u0008,u0276,2026-04-16 00:07:49,after_policy
f000111,u0008,u0178,2026-04-08 14:15:47,after_policy
f000112,u0008,u0301,2026-04-04 03:33:42,after_policy
f000113,u0008,u0139,2026-03-28 09:59:20,after_policy
f000114,u0008,u0341,2026-01-05 23:59:35,before_policy
f000115,u0008,u0116,2026-03-02 20:19:12,after_policy
f000116,u0008,u0023,2026-04-20 21:13:07,after_policy
f000117,u0008,u0198,2026-02-10 00:10:50,before_policy
f000118,u0008,u0056,2026-02-19 07:00:02,before_policy
f000119,u0008,u0320,2026-03-01 22:38:09,policy_day
f000120,u0008,u0029,2026-01-31 05:31:05,before_policy
f000121,u0008,u0152,2026-04-29 20:03:03,after_policy
f000122,u0008,u0110,2026-02-09 17:50:41,before_policy
f000123,u0008,u0199,2026-04-03 06:01:44,after_policy
f000124,u0008,u0330,2026-01-17 08:57:02,before_policy
f000125,u0008,u0249,2026-03-30 15:12:36,after_policy
f000126,u0008,u0156,2026-02-10 23:29:17,before_policy
f000127,u0008,u0034,2026-03-08 04:28:18,after_policy
f000128,u0008,u0294,2025-12-31 20:32:24,before_policy
f000129,u0008,u0013,2026-03-20 11:49:39,after_policy
f000130,u0008,u0237,2026-04-14 12:12:33,after_policy
f000131,u0008,u0355,2026-03-11 04:39:18,after_policy
f000132,u0008,u0283,2026-02-10 03:06:33,before_policy
f000133,u0008,u0022,2026-04-16 04:11:55,after_policy
f000134,u0008,u0030,2026-01-04 18:41:53,before_policy
f000135,u0008,u0222,2026-03-08 19:44:37,after_policy
f000136,u0008,u0166,2026-01-28 19:45:04,before_policy
f000137,u0008,u0095,2026-03-24 15:59:56,after_policy
f000138,u0008,u0271,2026-01-07 11:35:47,before_policy
f000139,u0008,u0132,2026-04-11 22:03:52,after_policy
f000140,u0008,u0236,2026-01-05 23:04:53,before_policy
f000141,u0008,u0096,2026-03-07 03:06:46,after_policy
f000142,u0008,u0252,2026-03-21 05:35:47,after_policy
f000143,u0008,u0344,2026-01-13 20:36:22,before_policy
f000144,u0009,u0115,2026-03-11 12:32:21,after_policy
f000145,u0009,u0243,2026-03-17 14:59:22,after_policy
f000146,u0009,u0266,2026-02-21 20:27:52,before_policy
f000147,u0009,u0286,2026-01-30 18:34:13,before_policy
f000148,u0009,u0247,2026-04-28 23:16:23,after_policy
f000149,u0009,u0162,2025-12-31 23:02:18,before_policy
f000150,u0009,u0238,2026-01-17 09:00:19,before_policy
f000151,u0009,u0211,2026-01-02 22:52:17,before_policy
f000152,u0009,u0050,2026-01-04 14:22:09,before_policy
f000153,u0009,u0179,2026-04-23 18:15:14,after_policy
f000154,u0009,u0153,2026-01-11 18:25:36,before_policy
f000155,u0009,u0330,2026-02-10 15:11:31,before_policy
f000156,u0009,u0264,2026-03-23 09:02:46,after_policy
f000157,u0009,u0045,2026-04-09 01:58:49,after_policy
f000158,u0009,u0204,2026-02-22 03:55:49,before_policy
f000159,u0009,u0310,2026-04-18 19:59:00,after_policy
f000160,u0009,u0303,2026-02-17 01:19:33,before_policy
f000161,u0009,u0246,2026-03-13 04:20:32,after_policy
f000162,u0009,u0100,2026-01-06 21:46:25,before_policy
f000163,u0009,u0105,2026-02-24 09:50:25,before_policy
f000164,u0009,u0175,2026-01-10 15:36:47,before_policy
f000165,u0009,u0193,2026-02-02 02:25:32,before_policy
f000166,u0009,u0331,2026-01-16 04:30:35,before_policy
f000167,u0009,u0192,2026-03-24 18:12:35,after_policy
f000168,u0009,u0346,2026-03-08 07:15:04,after_policy
f000169,u0009,u0257,2026-01-11 03:42:26,before_policy
f000170,u0009,u0176,2026-01-24 10:22:38,before_policy
f000171,u0009,u0358,2026-02-08 05:22:39,before_policy
f000172,u0009,u0263,2026-01-18 14:02:59,before_policy
f000173,u0009,u0239,2026-01-19 23:54:05,before_policy
f000174,u0009,u0041,2026-01-31 19:59:09,before_policy
f000175,u0009,u0004,2026-02-12 22:51:07,before_policy
f000176,u0009,u0220,2026-01-02 10:13:47,before_policy
f000177,u0009,u0119,2026-03-10 16:48:16,after_policy
f000178,u0009,u0300,2026-04-03 04:44:44,after_policy
f000179,u0009,u0185,2026-03-15 21:33:02,after_policy
f000180,u0009,u0042,2026-02-05 06:50:44,before_policy
f000181,u0009,u0011,2026-01-08 12:42:17,before_policy
f000182,u0009,u0313,2026-02-15 03:01:18,before_policy
f000183,u0009,u0084,2026-02-17 16:45:06,before_policy
f000184,u0009,u0260,2026-03-09 02:11:12,after_policy
f000185,u0009,u0216,2026-03-12 22:01:02,after_policy
f000186,u0009,u0242,2026-02-08 10:31:25,before_policy
f000187,u0010,u0128,2026-03-21 09:15:32,after_policy
f000188,u0010,u0026,2026-03-21 08:56:24,after_policy
f000189,u0010,u0251,2026-02-04 07:09:21,before_policy
f000190,u0010,u0055,2026-04-03 12:33:43,after_policy
f000191,u0010,u0271,2026-03-28 07:26:15,after_policy
f000192,u0010,u0172,2026-02-08 19:21:28,before_policy
f000193,u0010,u0082,2026-03-24 04:37:34,after_policy
f000194,u0010,u0079,2026-04-20 04:19:44,after_policy
f000195,u0010,u0200,2026-04-26 04:27:58,after_policy
f000196,u0010,u0310,2026-04-29 18:58:10,after_policy
f000197,u0010,u0214,2026-03-09 23:07:11,after_policy
f000198,u0011,u0163,2026-02-07 14:47:59,before_policy
f000199,u0011,u0086,2026-04-09 06:06:08,after_policy
f000200,u0011,u0351,2026-03-19 19:17:38,after_policy
f000201,u0011,u0126,2026-03-17 07:14:43,after_policy
f000202,u0011,u0051,2026-03-29 15:08:32,after_policy
f000203,u0011,u0317,2026-03-24 11:11:54,after_policy
f000204,u0011,u0220,2026-01-17 05:12:14,before_policy
f000205,u0011,u0285,2026-01-28 23:42:12,before_policy
f000206,u0011,u0043,2026-01-22 14:55:39,before_policy
f000207,u0011,u0168,2026-04-20 14:56:15,after_policy
f000208,u0011,u0040,2026-03-18 23:52:24,after_policy
f000209,u0011,u0192,2026-03-19 23:36:38,after_policy
f000210,u0011,u0306,2026-04-22 22:50:02,after_policy
f000211,u0011,u0215,2026-02-27 01:56:15,before_policy
f000212,u0011,u0251,2026-02-18 16:48:40,before_policy
f000213,u0011,u0165,2026-02-25 12:56:19,before_policy
f000214,u0011,u0145,2026-02-28 05:27:18,before_policy
f000215,u0011,u0041,2026-03-29 16:57:09,after_policy
f000216,u0011,u0343,2026-03-05 03:11:49,after_policy
f000217,u0011,u0331,2026-03-10 04:25:26,after_policy
f000218,u0011,u0021,2026-01-22 14:37:57,before_policy
f000219,u0011,u0118,2026-04-22 14:05:16,after_policy
f000220,u0011,u0310,2026-04-26 22:50:10,after_policy
f000221,u0011,u0075,2026-01-11 03:45:28,before_policy
f000222,u0011,u0190,2026-04-03 16:39:10,after_policy
f000223,u0011,u0185,2026-01-05 05:58:21,before_policy
f000224,u0011,u0313,2026-04-20 04:10:55,after_policy
f000225,u0011,u0358,2026-04-01 01:26:19,after_policy
f000226,u0011,u0094,2026-01-15 04:12:00,before_policy
f000227,u0011,u0136,2026-01-01 14:31:54,before_policy
