like_id,user_id,post_id,post_author_id,created_at,period,same_cluster_as_author
l0000001,u0055,p000001,u0125,2026-01-29 03:50:07,before_policy,1
l0000002,u0183,p000001,u0125,2026-01-29 06:13:07,before_policy,1
l0000003,u0095,p000001,u0125,2026-01-29 01:35:07,before_policy,0
l0000004,u0043,p000001,u0125,2026-01-29 04:31:07,before_policy,1
l0000005,u0358,p000001,u0125,2026-01-29 04:37:07,before_policy,1
l0000006,u0041,p000001,u0125,2026-01-29 08:47:07,before_policy,1
l0000007,u0286,p000001,u0125,2026-01-29 03:51:07,before_policy,1
l0000008,u0353,p000001,u0125,2026-01-29 02:46:07,before_policy,0
l0000009,u0164,p000001,u0125,2026-01-29 04:14:07,before_policy,1
l0000010,u0345,p000001,u0125,2026-01-29 00:56:07,before_policy,1
l0000011,u0179,p000001,u0125,2026-01-29 02:29:07,before_policy,1
l0000012,u0174,p000001,u0125,2026-01-29 06:31:07,before_policy,1
l0000013,u0330,p000001,u0125,2026-01-29 02:16:07,before_policy,0
l0000014,u0137,p000002,u0119,2026-02-19 02:34:06,before_policy,1
l0000015,u0246,p000002,u0119,2026-02-19 03:03:06,before_policy,1
l0000016,u0142,p000002,u0119,2026-02-19 04:18:06,before_policy,1
l0000017,u0294,p000002,u0119,2026-02-18 17:48:06,before_policy,0
l0000018,u0203,p000002,u0119,2026-02-18 23:21:06,before_policy,1
l0000019,u0133,p000002,u0119,2026-02-19 02:20:06,before_policy,0
l0000020,u0175,p000002,u0119,2026-02-18 17:18:06,before_policy,1
l0000021,u0051,p000002,u0119,2026-02-18 23:10:06,before_policy,1
l0000022,u0044,p000002,u0119,2026-02-18 20:00:06,before_policy,1
l0000023,u0073,p000003,u0183,2026-01-25 21:27:55,before_policy,1
l0000024,u0062,p000003,u0183,2026-01-25 18:11:55,before_policy,0
l0000025,u0190,p000003,u0183,2026-01-25 20:50:55,before_policy,1
l0000026,u0188,p000003,u0183,2026-01-26 02:20:55,before_policy,0
l0000027,u0290,p000003,u0183,2026-01-26 04:36:55,before_policy,0
l0000028,u0051,p000003,u0183,2026-01-25 20:03:55,before_policy,1
l0000029,u0088,p000003,u0183,2026-01-25 23:51:55,before_policy,0
l0000030,u0238,p000003,u0183,2026-01-25 20:46:55,before_policy,1
l0000031,u0346,p000003,u0183,2026-01-25 23:12:55,before_policy,1
l0000032,u0345,p000003,u0183,2026-01-25 19:58:55,before_policy,1
l0000033,u0203,p000003,u0183,2026-01-25 18:42:55,before_policy,1
