edge_id,user_1,user_2,username_1,username_2,cluster_1,cluster_2,same_ground_truth_cluster,stance_1,stance_2,follow_count,mutual_follow,post_like_count,same_post_like_count,comment_count,reply_count,comment_like_count,before_interactions,after_interactions,total_interactions,final_interaction_weight,edge_type
e0002362,u0103,u0194,Update0103,Policy0194,C4_neutral_news,C4_neutral_news,1,neutral,neutral,2,1,4,13,4,0,5,4,11,15,0.681,observed_synthetic_interaction_edge
e0004538,u0194,u0304,Policy0194,Brief0304,C4_neutral_news,C4_neutral_news,1,neutral,neutral,2,1,4,11,2,1,5,4,10,14,0.645,observed_synthetic_interaction_edge
e0006685,u0287,u0312,Brief0287,Policy0312,C4_neutral_news,C4_neutral_news,1,neutral,neutral,2,1,4,10,3,1,1,4,7,11,0.643,observed_synthetic_interaction_edge
e0001151,u0045,u0127,Curious0045,Everyday0127,C5_general_public,C5_general_public,1,mixed,mixed,2,1,3,6,5,0,2,3,9,12,0.635,observed_synthetic_interaction_edge
e0005519,u0244,u0294,Analyst0244,News0294,C4_neutral_news,C4_neutral_news,1,neutral,neutral,2,1,3,15,2,0,6,1,12,13,0.621,observed_synthetic_interaction_edge
e0001146,u0045,u0184,Curious0045,Social0184,C5_general_public,C5_general_public,1,mixed,mixed,2,1,5,8,3,0,3,3,10,13,0.62,observed_synthetic_interaction_edge
e0001210,u0049,u0311,News0049,News0311,C4_neutral_news,C4_neutral_news,1,neutral,neutral,2,1,5,13,1,1,2,3,8,11,0.619,observed_synthetic_interaction_edge
e0004793,u0208,u0248,OpenNet0208,Resist0248,C2_anti_policy,C2_anti_policy,1,anti,anti,2,1,5,10,3,0,1,5,6,11,0.618,observed_synthetic_interaction_edge
e0004523,u0194,u0284,Policy0194,Analyst0284,C4_neutral_news,C4_neutral_news,1,neutral,neutral,2,1,2,7,3,1,4,2,10,12,0.616,observed_synthetic_interaction_edge
e0006349,u0094,u0294,Policy0094,News0294,C4_neutral_news,C4_neutral_news,1,neutral,neutral,2,1,5,9,2,0,5,5,9,14,0.608,observed_synthetic_interaction_edge
e0006351,u0289,u0294,Brief0289,News0294,C4_neutral_news,C4_neutral_news,1,neutral,neutral,2,1,2,13,3,0,3,2,8,10,0.605,observed_synthetic_interaction_edge
e0004534,u0194,u0266,Policy0194,Analyst0266,C4_neutral_news,C4_neutral_news,1,neutral,neutral,2,1,3,11,3,0,2,4,6,10,0.601,observed_synthetic_interaction_edge
e0005425,u0240,u0244,Update0240,Analyst0244,C4_neutral_news,C4_neutral_news,1,neutral,neutral,2,1,1,13,1,1,8,4,9,13,0.601,observed_synthetic_interaction_edge
e0002578,u0114,u0187,Account0114,Account0187,C1_pro_policy,C1_pro_policy,1,pro,pro,2,1,2,8,4,0,2,4,6,10,0.6,observed_synthetic_interaction_edge
e0001982,u0086,u0294,Update0086,News0294,C4_neutral_news,C4_neutral_news,1,neutral,neutral,2,1,4,11,2,0,4,4,8,12,0.598,observed_synthetic_interaction_edge
e0005516,u0244,u0285,Analyst0244,Brief0285,C4_neutral_news,C4_neutral_news,1,neutral,neutral,2,1,1,9,2,1,6,6,6,12,0.595,observed_synthetic_interaction_edge
e0001217,u0049,u0359,News0049,Analyst0359,C4_neutral_news,C4_neutral_news,1,neutral,neutral,2,1,5,9,2,0,3,4,8,12,0.594,observed_synthetic_interaction_edge
e0000786,u0034,u0165,Cipher0034,Data0165,C3_privacy_skeptics,C3_privacy_skeptics,1,skeptical,skeptical,2,1,4,7,3,0,2,4,7,11,0.592,observed_synthetic_interaction_edge
e0004900,u0213,u0244,Policy0213,Analyst0244,C4_neutral_news,C4_neutral_news,1,neutral,neutral,2,1,1,16,2,0,5,2,8,10,0.59,observed_synthetic_interaction_edge
e0000301,u0014,u0172,Mixed0014,Curious0172,C5_general_public,C5_general_public,1,mixed,mixed,2,1,2,12,1,1,5,1,10,11,0.589,observed_synthetic_interaction_edge
e0001171,u0046,u0294,News0046,News0294,C4_neutral_news,C4_neutral_news,1,neutral,neutral,2,1,6,8,2,0,1,3,8,11,0.589,observed_synthetic_interaction_edge
e0001974,u0086,u0092,Update0086,News0092,C4_neutral_news,C4_neutral_news,1,neutral,neutral,2,1,7,10,0,0,6,5,10,15,0.587,observed_synthetic_interaction_edge
e0002155,u0094,u0103,Policy0094,Update0103,C4_neutral_news,C4_neutral_news,1,neutral,neutral,2,1,4,9,2,0,4,7,5,12,0.586,observed_synthetic_interaction_edge
e0002974,u0126,u0177,Resist0126,OpenNet0177,C2_anti_policy,C2_anti_policy,1,anti,anti,2,1,5,11,2,0,0,1,8,9,0.585,observed_synthetic_interaction_edge
e0001748,u0074,u0213,Analyst0074,Policy0213,C4_neutral_news,C4_neutral_news,1,neutral,neutral,2,1,2,12,1,0,10,7,8,15,0.584,observed_synthetic_interaction_edge
e0002153,u0094,u0240,Policy0094,Update0240,C4_neutral_news,C4_neutral_news,1,neutral,neutral,2,1,5,8,1,0,7,6,9,15,0.584,observed_synthetic_interaction_edge
e0000881,u0037,u0240,Analyst0037,Update0240,C4_neutral_news,C4_neutral_news,1,neutral,neutral,2,1,3,11,2,0,4,2,9,11,0.583,observed_synthetic_interaction_edge
e0001500,u0020,u0062,Mixed0020,User0062,C5_general_public,C5_general_public,1,mixed,mixed,2,1,3,4,1,2,3,2,9,11,0.582,observed_synthetic_interaction_edge
e0006309,u0292,u0349,Curious0292,User0349,C5_general_public,C5_general_public,1,mixed,mixed,2,1,2,8,3,0,4,5,6,11,0.582,observed_synthetic_interaction_edge
e0001222,u0049,u0092,News0049,News0092,C4_neutral_news,C4_neutral_news,1,neutral,neutral,2,1,3,13,2,0,2,5,4,9,0.581,observed_synthetic_interaction_edge
e0000093,u0007,u0327,Update0007,Update0327,C4_neutral_news,C4_neutral_news,1,neutral,neutral,2,1,6,13,1,0,0,2,7,9,0.58,observed_synthetic_interaction_edge
e0000779,u0034,u0148,Cipher0034,Civil0148,C3_privacy_skeptics,C3_privacy_skeptics,1,skeptical,skeptical,2,1,5,14,1,0,1,2,7,9,0.578,observed_synthetic_interaction_edge
e0000886,u0037,u0094,Analyst0037,Policy0094,C4_neutral_news,C4_neutral_news,1,neutral,neutral,2,1,6,10,1,0,2,5,6,11,0.576,observed_synthetic_interaction_edge
e0000992,u0041,u0343,Resist0041,Liberty0343,C2_anti_policy,C2_anti_policy,1,anti,anti,2,1,3,12,1,1,1,1,7,8,0.576,observed_synthetic_interaction_edge
